id,age,salary,department,years_experience
1,56,53483.0,HR,12
2,46,78555.0,Sales,18
3,32,47159.0,Marketing,6
4,60,110077.0,Marketing,16
5,25,65920.0,HR,19
6,38,,Marketing,28
7,56,99479.0,HR,3
8,36,119475.0,Engineering,29
9,40,49457.0,Marketing,4
10,28,96557.0,Engineering,22
11,28,107189.0,,6
12,41,108953.0,Sales,12
13,53,82995.0,Marketing,14
14,57,70757.0,HR,10
15,41,39692.0,Sales,28
16,20,75758.0,Sales,3
17,39,102409.0,Engineering,12
18,19,101211.0,HR,6
19,41,95697.0,Sales,26
20,61,67065.0,Marketing,18
21,47,1000000.0,Marketing,21
22,55,41534.0,Engineering,27
23,19,70397.0,Sales,1
24,38,31016.0,HR,9
25,50,119789.0,Marketing,12
26,120,85591.0,Sales,29
27,39,119812.0,Sales,24
28,61,53247.0,Engineering,20
29,42,54300.0,Marketing,5
30,44,104065.0,Marketing,27
31,59,112798.0,HR,27
32,45,39268.0,Marketing,11
33,33,116807.0,HR,11
34,32,42185.0,Marketing,19
35,64,93704.0,Engineering,29
36,61,116779.0,Marketing,29
37,20,69099.0,HR,10
38,54,38571.0,HR,25
39,24,68044.0,Engineering,22
40,38,81214.0,Marketing,27
41,26,91228.0,Marketing,24
42,56,78984.0,Engineering,6
43,35,70774.0,Marketing,29
44,21,32568.0,Marketing,0
45,42,92592.0,HR,0
46,31,97563.0,Marketing,24
47,26,32695.0,Marketing,26
48,43,78190.0,Engineering,29
49,19,35258.0,Engineering,24
50,37,117538.0,Sales,19
3,32,47159.0,Marketing,6
8,36,119475.0,Engineering,29
